"video_id","label"
"AN_WILTY_EP15_lie10.mp4","1"
"AN_WILTY_EP15_lie11.mp4","1"
"AN_WILTY_EP15_lie12.mp4","1"
"AN_WILTY_EP15_lie13.mp4","1"
"AN_WILTY_EP15_lie14.mp4","1"
"AN_WILTY_EP15_lie15.mp4","1"
"AN_WILTY_EP15_lie16.mp4","1"
"AN_WILTY_EP15_lie17.mp4","1"
"AN_WILTY_EP15_lie18.mp4","1"
"AN_WILTY_EP15_lie19.mp4","1"
"AN_WILTY_EP15_lie4.mp4","1"
"AN_WILTY_EP15_lie5.mp4","1"
"AN_WILTY_EP15_truth2.mp4","0"
"AN_WILTY_EP15_truth20.mp4","0"
"AN_WILTY_EP15_truth21.mp4","0"
"AN_WILTY_EP15_truth22.mp4","0"
"AN_WILTY_EP15_truth23.mp4","0"
"AN_WILTY_EP15_truth24.mp4","0"
"AN_WILTY_EP15_truth3.mp4","0"
"AN_WILTY_EP15_truth6.mp4","0"
"AN_WILTY_EP15_truth7.mp4","0"
"AN_WILTY_EP15_truth8.mp4","0"
"AN_WILTY_EP15_truth9.mp4","0"
"AN_WILTY_EP16_lie1.mp4","1"
"AN_WILTY_EP16_lie17.mp4","1"
"AN_WILTY_EP16_lie18.mp4","1"
"AN_WILTY_EP16_lie19.mp4","1"
"AN_WILTY_EP16_lie2.mp4","1"
"AN_WILTY_EP16_lie20.mp4","1"
"AN_WILTY_EP16_lie21.mp4","1"
"AN_WILTY_EP16_lie3.mp4","1"
"AN_WILTY_EP16_lie4.mp4","1"
"AN_WILTY_EP16_lie5.mp4","1"
"AN_WILTY_EP16_lie6.mp4","1"
"AN_WILTY_EP16_lie7.mp4","1"
"AN_WILTY_EP16_truth10.mp4","0"
"AN_WILTY_EP16_truth11.mp4","0"
"AN_WILTY_EP16_truth12.mp4","0"
"AN_WILTY_EP16_truth13.mp4","0"
"AN_WILTY_EP16_truth14.mp4","0"
"AN_WILTY_EP16_truth15.mp4","0"
"AN_WILTY_EP16_truth16.mp4","0"
"AN_WILTY_EP16_truth22.mp4","0"
"AN_WILTY_EP16_truth23.mp4","0"
"AN_WILTY_EP16_truth24.mp4","0"
"AN_WILTY_EP16_truth25.mp4","0"
"AN_WILTY_EP16_truth26.mp4","0"
"AN_WILTY_EP16_truth8.mp4","0"
"AN_WILTY_EP17_lie1.mp4","1"
"AN_WILTY_EP17_lie13.mp4","1"
"AN_WILTY_EP17_lie14.mp4","1"
"AN_WILTY_EP17_lie15.mp4","1"
"AN_WILTY_EP17_lie16.mp4","1"
"AN_WILTY_EP17_lie17.mp4","1"
"AN_WILTY_EP17_lie18.mp4","1"
"AN_WILTY_EP17_lie19.mp4","1"
"AN_WILTY_EP17_lie8.mp4","1"
"AN_WILTY_EP17_lie9.mp4","1"
"AN_WILTY_EP17_truth10.mp4","0"
"AN_WILTY_EP17_truth11.mp4","0"
"AN_WILTY_EP17_truth12.mp4","0"
"AN_WILTY_EP17_truth2.mp4","0"
